Before CTE Training: train eu loss: 1.0375890731811523, eval eu loss: 1.492782711982727
Before CTE Training: train eu acc: 0.6748046875, eval eu acc: 0.560546875
epoch 114 summary: dyn_dyn_loss   : 1.97596, dyn_sta_loss   : 0.06229, tot_dyn_loss   : 0.25366, sta_sta_loss   : 4.06241, 
epoch 115 summary: dyn_dyn_loss   : 1.97822, dyn_sta_loss   : 0.06220, tot_dyn_loss   : 0.25381, sta_sta_loss   : 4.06241, 
epoch 116 summary: dyn_dyn_loss   : 1.97996, dyn_sta_loss   : 0.06410, tot_dyn_loss   : 0.25568, sta_sta_loss   : 4.06241, 
epoch 117 summary: dyn_dyn_loss   : 1.97867, dyn_sta_loss   : 0.06418, tot_dyn_loss   : 0.25563, sta_sta_loss   : 4.06241, 
epoch 118 summary: dyn_dyn_loss   : 1.98757, dyn_sta_loss   : 0.06217, tot_dyn_loss   : 0.25471, sta_sta_loss   : 4.06241, 
epoch 119 summary: dyn_dyn_loss   : 1.98661, dyn_sta_loss   : 0.06215, tot_dyn_loss   : 0.25460, sta_sta_loss   : 4.06241, 
epoch 120 summary: dyn_dyn_loss   : 1.97150, dyn_sta_loss   : 0.06491, tot_dyn_loss   : 0.25557, sta_sta_loss   : 4.06241, 
train loss: 0.0002, train acc: 1.0000
epoch 121 summary: dyn_dyn_loss   : 1.97730, dyn_sta_loss   : 0.06349, tot_dyn_loss   : 0.25487, sta_sta_loss   : 4.06241, 
epoch 122 summary: dyn_dyn_loss   : 1.97778, dyn_sta_loss   : 0.06202, tot_dyn_loss   : 0.25360, sta_sta_loss   : 4.06241, 
epoch 123 summary: dyn_dyn_loss   : 1.97953, dyn_sta_loss   : 0.06232, tot_dyn_loss   : 0.25404, sta_sta_loss   : 4.06241, 
epoch 124 summary: dyn_dyn_loss   : 1.98277, dyn_sta_loss   : 0.06092, tot_dyn_loss   : 0.25310, sta_sta_loss   : 4.06241, 
epoch 125 summary: dyn_dyn_loss   : 1.98594, dyn_sta_loss   : 0.06124, tot_dyn_loss   : 0.25371, sta_sta_loss   : 4.06241, 
epoch 126 summary: dyn_dyn_loss   : 1.97997, dyn_sta_loss   : 0.06250, tot_dyn_loss   : 0.25425, sta_sta_loss   : 4.06241, 
epoch 127 summary: dyn_dyn_loss   : 1.98234, dyn_sta_loss   : 0.06145, tot_dyn_loss   : 0.25354, sta_sta_loss   : 4.06241, 
epoch 128 summary: dyn_dyn_loss   : 1.97554, dyn_sta_loss   : 0.06258, tot_dyn_loss   : 0.25388, sta_sta_loss   : 4.06241, 
epoch 129 summary: dyn_dyn_loss   : 1.96894, dyn_sta_loss   : 0.06162, tot_dyn_loss   : 0.25235, sta_sta_loss   : 4.06241, 
epoch 130 summary: dyn_dyn_loss   : 1.97769, dyn_sta_loss   : 0.06166, tot_dyn_loss   : 0.25326, sta_sta_loss   : 4.06241, 
train loss: 0.0001, train acc: 1.0000
epoch 131 summary: dyn_dyn_loss   : 1.97573, dyn_sta_loss   : 0.06002, tot_dyn_loss   : 0.25159, sta_sta_loss   : 4.06241, 
epoch 132 summary: dyn_dyn_loss   : 1.98032, dyn_sta_loss   : 0.06292, tot_dyn_loss   : 0.25466, sta_sta_loss   : 4.06241, 
epoch 133 summary: dyn_dyn_loss   : 1.97173, dyn_sta_loss   : 0.06302, tot_dyn_loss   : 0.25389, sta_sta_loss   : 4.06241, 
epoch 134 summary: dyn_dyn_loss   : 1.97009, dyn_sta_loss   : 0.06349, tot_dyn_loss   : 0.25415, sta_sta_loss   : 4.06241, 
epoch 135 summary: dyn_dyn_loss   : 1.98365, dyn_sta_loss   : 0.06002, tot_dyn_loss   : 0.25238, sta_sta_loss   : 4.06241, 
epoch 136 summary: dyn_dyn_loss   : 1.97386, dyn_sta_loss   : 0.06210, tot_dyn_loss   : 0.25327, sta_sta_loss   : 4.06241, 
