epoch  53 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.25704, 
Warning: failed to save checkpoint at epoch 53: name 'train_new_save_path' is not defined
epoch  54 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23881, 
Warning: failed to save checkpoint at epoch 54: name 'train_new_save_path' is not defined
epoch  55 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.25378, 
Warning: failed to save checkpoint at epoch 55: name 'train_new_save_path' is not defined
epoch  56 summary: dyn_dyn_cos_loss: 0.00583, dyn_sta_cos_loss: 0.00170, total_cos_loss : 0.00170, vocab_cro_loss : 1.22697, 
Warning: failed to save checkpoint at epoch 56: name 'train_new_save_path' is not defined
epoch  57 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.27665, 
Warning: failed to save checkpoint at epoch 57: name 'train_new_save_path' is not defined
epoch  58 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.28377, 
Warning: failed to save checkpoint at epoch 58: name 'train_new_save_path' is not defined
epoch  59 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.25691, 
Warning: failed to save checkpoint at epoch 59: name 'train_new_save_path' is not defined
epoch  60 summary: dyn_dyn_cos_loss: 0.00563, dyn_sta_cos_loss: 0.00174, total_cos_loss : 0.00174, vocab_cro_loss : 1.23933, 
train loss: 1.2543, train acc: 0.6323
Warning: failed to save checkpoint at epoch 60: name 'train_new_save_path' is not defined
epoch  61 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.25422, 
Warning: failed to save checkpoint at epoch 61: name 'train_new_save_path' is not defined
epoch  62 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.24321, 
Warning: failed to save checkpoint at epoch 62: name 'train_new_save_path' is not defined
epoch  63 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.22820, 
Warning: failed to save checkpoint at epoch 63: name 'train_new_save_path' is not defined
epoch  64 summary: dyn_dyn_cos_loss: 0.00553, dyn_sta_cos_loss: 0.00168, total_cos_loss : 0.00168, vocab_cro_loss : 1.22267, 
Warning: failed to save checkpoint at epoch 64: name 'train_new_save_path' is not defined
epoch  65 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23595, 
Warning: failed to save checkpoint at epoch 65: name 'train_new_save_path' is not defined
epoch  66 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.24554, 
Warning: failed to save checkpoint at epoch 66: name 'train_new_save_path' is not defined
epoch  67 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23721, 
Warning: failed to save checkpoint at epoch 67: name 'train_new_save_path' is not defined
epoch  68 summary: dyn_dyn_cos_loss: 0.00544, dyn_sta_cos_loss: 0.00169, total_cos_loss : 0.00169, vocab_cro_loss : 1.21299, 
Warning: failed to save checkpoint at epoch 68: name 'train_new_save_path' is not defined
epoch  69 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23882, 
Warning: failed to save checkpoint at epoch 69: name 'train_new_save_path' is not defined
epoch  70 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23121, 
train loss: 1.2235, train acc: 0.6367
Warning: failed to save checkpoint at epoch 70: name 'train_new_save_path' is not defined
epoch  71 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.22345, 
Warning: failed to save checkpoint at epoch 71: name 'train_new_save_path' is not defined
epoch  72 summary: dyn_dyn_cos_loss: 0.00561, dyn_sta_cos_loss: 0.00167, total_cos_loss : 0.00167, vocab_cro_loss : 1.21853, 
Warning: failed to save checkpoint at epoch 72: name 'train_new_save_path' is not defined
epoch  73 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.24363, 
Warning: failed to save checkpoint at epoch 73: name 'train_new_save_path' is not defined
epoch  74 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.24607, 
Warning: failed to save checkpoint at epoch 74: name 'train_new_save_path' is not defined
epoch  75 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.22883, 
Warning: failed to save checkpoint at epoch 75: name 'train_new_save_path' is not defined
epoch  76 summary: dyn_dyn_cos_loss: 0.00536, dyn_sta_cos_loss: 0.00168, total_cos_loss : 0.00168, vocab_cro_loss : 1.22074, 
Warning: failed to save checkpoint at epoch 76: name 'train_new_save_path' is not defined
epoch  77 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.25495, 
Warning: failed to save checkpoint at epoch 77: name 'train_new_save_path' is not defined
epoch  78 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.27120, 
Warning: failed to save checkpoint at epoch 78: name 'train_new_save_path' is not defined
epoch  79 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.26751, 
Warning: failed to save checkpoint at epoch 79: name 'train_new_save_path' is not defined
epoch  80 summary: dyn_dyn_cos_loss: 0.00517, dyn_sta_cos_loss: 0.00168, total_cos_loss : 0.00168, vocab_cro_loss : 1.25009, 
train loss: 1.2663, train acc: 0.6296
Warning: failed to save checkpoint at epoch 80: name 'train_new_save_path' is not defined
epoch  81 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.26620, 
Warning: failed to save checkpoint at epoch 81: name 'train_new_save_path' is not defined
